Type of Object,Average Grasp,Success 1,Success 2,Success 3,Average
Basket,"[0.075351, 0.148397, 0.0178222, 0.206239, -0.011023, 0.0894419]",1.0,1.0,0.0,0.67
Teapot,"[0.043671, 0.229036, 0.0298087, 0.209145, 0.0737961, 0.0346974]",0.25,1.0,0.25,0.5
DoubleBed,"[0.00885718, 0.0878298, 0.0101915, 0.105389, 0.0388941, 0.0580888]",1.0,0.25,0.0,0.42
Flashlight,"[0.0566893, 0.0513057, 2.11261e-05, 0.18414, -0.118563, -0.0599021]",0.0,1.0,0.0,0.33
USBStick,"[0.0272614, 0.11839, 0.0304668, 0.145062, 0.0657397, 0.0139928]",0.5,1.0,0.5,0.67
LampPost,"[0.0436322, 0.102463, 0.14952, 0.598858, -0.188503, 0.481996]",0.5,1.0,0.0,0.5
Cabinet,"[0.0970372, 0.0588922, 0.0493386, 0.245799, -0.0188911, 0.145721]",0.5,0.25,0.0,0.25
Cage,"[0.0137862, 0.100257, 0.0320026, 0.100735, 0.0523882, -0.0194242]",0.0,0.0,0.0,0.0
Bird,"[-0.0390745, 0.0678011, 0.0305781, -0.0337422, 0.0533459, -0.0576785]",0.5,0.5,0.0,0.33
PowerStrip,"[0.00899084, 0.0624826, -0.0232282, -0.0731237, 0.0647317, -0.257112]",0.5,0.25,0.5,0.42
Cow,"[0.0566893, 0.0513057, 2.11261e-05, 0.18414, -0.118563, -0.0599021]",1.0,0.0,0.5,0.5
CanopyBed,"[0.0145369, 0.11939, 0.0135426, 0.0757362, 0.140401, 0.0451942]",0.5,0.5,0.5,0.5
Book,"[-0.0390745, 0.0678011, 0.0305781, -0.0337422, 0.0533459, -0.0576785]",0.25,0.25,0.25,0.25
Magnet,"[0.0615608, 0.147201, 0.0014705, 0.162775, -0.00128547, 0.115763]",0.25,1.0,0.5,0.58
WineRack,"[0.0149416, 0.224374, -0.0502975, 0.386686, 0.0595446, 0.344879]",0.5,0.0,0.0,0.17
Copier,"[-0.0742077, 0.156941, -0.00192378, 0.26705, -0.275271, -0.0139119]",0.0,1.0,0.0,0.33
Gun,"[0.0437533, 0.159537, 0.0280593, 0.205619, -0.00173052, 0.0358128]",0.5,0.0,0.25,0.25
PS2,"[0.0155611, 0.155435, 0.00807997, 0.0437449, 0.0910215, 0.0977345]",0.25,0.0,0.5,0.25
Table,"[0.02247612, 0.15126315, -0.00284535, 0.11772227, 0.1256676, 0.03606809]",0.25,0.25,0.25,0.25
Ship,"[0.0615608, 0.147201, 0.0014705, 0.162775, -0.00128547, 0.115763]",0.0,0.5,0.5,0.33
Cabling,"[-0.0464644, 0.0914491, -0.042115, 0.392, 0.0667395, 0.640385]",0.5,0.25,0.25,0.33
Wii,"[0.0323191, 0.0695059, -0.0138204, 0.168023, 0.23342, 0.126243]",0.25,0.25,0.5,0.33
Curtain,"[0.0350832, -0.0363748, 0.0464161, -0.057833, 0.197336, -0.0770762]",0.25,0.25,0.0,0.17
Cookie,"[-0.047749, 0.150753, 0.00412716, 0.0228122, 0.0489043, -0.102387]",0.25,0.25,1.0,0.5
ScrewDriver,"[0.0566893, 0.0513057, 2.11261e-05, 0.18414, -0.118563, -0.0599021]",0.0,0.5,0.0,0.17
Refrigerator,"[0.0350832, -0.0363748, 0.0464161, -0.057833, 0.197336, -0.0770762]",0.25,0.5,1.0,0.58
CeilingFan,"[0.0313592, 0.166144, 0.0246675, 0.081043, 0.0953495, -0.0178893]",0.25,0.25,0.25,0.25
Cradle,"[0.00885718, 0.0878298, 0.0101915, 0.105389, 0.0388941, 0.0580888]",0.25,0.5,0.5,0.42
Toilet,"[-0.0257317, 0.0958682, 0.00867437, 0.123532, 0.0538122, 0.0229503]",0.0,0.25,0.25,0.17
Vanity,"[0.0279063, 0.139867, 0.0321037, 0.0463598, 0.107771, -0.0285588]",0.5,1.0,0.5,0.67
Printer,"[0.0279063, 0.139867, 0.0321037, 0.0463598, 0.107771, -0.0285588]",0.0,0.0,0.5,0.17
Sink,"[-0.0257317, 0.0958682, 0.00867437, 0.123532, 0.0538122, 0.0229503]",0.5,0.25,0.5,0.42
Picture,"[0.0360027, 0.0958624, 0.0100384, 0.25091, -0.00461071, 0.129358]",0.5,1.0,0.25,0.58
GameTable,"[0.02247612, 0.15126315, -0.00284535, 0.11772227, 0.1256676, 0.03606809]",0.25,0.25,0.0,0.17
Suitcase,"[-0.00549969, 0.12634, 0.0306866, 0.172058, 0.0898557, 0.00314322]",0.25,0.5,1.0,0.58
Easel,"[-0.0311263, 0.13985, -0.0625623, -0.137679, 0.148868, -0.403845]",1.0,0.5,0.0,0.5
Pizza,"[0.0107259, 0.0994686, -0.040804, -0.0588887, 0.0692652, -0.370153]",0.0,1.0,0.0,0.33
Fork,"[-0.0311263, 0.13985, -0.0625623, -0.137679, 0.148868, -0.403845]",0.0,0.25,0.25,0.17
PictureFrame,"[0.0446416, 0.0955425, 0.019782, 0.436211, -0.0403114, 0.393541]",0.5,1.0,0.5,0.67
VideoGameController,"[0.0272614, 0.11839, 0.0304668, 0.145062, 0.0657397, 0.0139928]",0.0,0.25,0.0,0.08
ComputerMouse,"[0.0683194, 0.204848, -0.102432, 0.192977, 0.151846, -0.0405014]",0.25,0.5,0.5,0.42
Monitor,"[0.0549271, 0.109022, -0.00692296, 0.280184, -0.0142582, 0.212384]",0.25,0.5,0.25,0.33
FileCabinet,"[0.0350832, -0.0363748, 0.0464161, -0.057833, 0.197336, -0.0770762]",0.5,0.25,0.25,0.33
