Type of Object,Average Grasp,Success 1,Success 2,Success 3,Average
AABattery,"[0.0076557, 0.0955027, 0.0178522, 0.0974693, 0.0991942, 0.0958977]",0.0,0.0,0.5,0.17
WebCam,"[0.0350832, -0.0363748, 0.0464161, -0.057833, 0.197336, -0.0770762]",0.25,0.25,0.25,0.25
PaperBox,"[0.0131172, 0.077617, -0.00389474, -0.219921, -0.0113426, -0.323293]",0.5,0.25,1.0,0.58
PS3,"[0.0137862, 0.100257, 0.0320026, 0.100735, 0.0523882, -0.0194242]",0.0,0.25,1.0,0.42
VideoGameConsole,"[0.0313592, 0.166144, 0.0246675, 0.081043, 0.0953495, -0.0178893]",0.0,0.25,0.0,0.08
Shampoo,"[-0.0560978, 0.0253889, 0.0372401, 0.108045, -0.0122332, -0.154906]",1.0,0.5,0.25,0.58
Sectional,"[0.052188, 0.141307, 0.00661912, 0.00170233, 0.121953, -0.115166]",0.25,0.0,0.5,0.25
Marker,"[0.0566893, 0.0513057, 2.11261e-05, 0.18414, -0.118563, -0.0599021]",0.25,0.5,0.25,0.33
CanOpener,"[0.0155611, 0.155435, 0.00807997, 0.0437449, 0.0910215, 0.0977345]",1.0,0.25,0.5,0.58
Tank,"[0.0149416, 0.224374, -0.0502975, 0.386686, 0.0595446, 0.344879]",1.0,0.5,0.5,0.67
Calculator,"[0.0303253, 0.146612, 0.00517789, 0.230929, 0.0585407, 0.137133]",0.0,1.0,0.0,0.33
Pencil,"[-0.0742077, 0.156941, -0.00192378, 0.26705, -0.275271, -0.0139119]",0.25,1.0,0.25,0.5
LoftBed,"[0.043671, 0.229036, 0.0298087, 0.209145, 0.0737961, 0.0346974]",0.25,0.5,0.25,0.33
TableLamp,"[-0.0390745, 0.0678011, 0.0305781, -0.0337422, 0.0533459, -0.0576785]",0.25,0.0,0.5,0.25
CoffeeTable,"[0.0566893, 0.0513057, 2.11261e-05, 0.18414, -0.118563, -0.0599021]",0.5,0.25,0.25,0.33
PowerSocket,"[0.0164761, 0.0854695, -0.0246462, 0.225508, 0.0530708, -0.0258339]",0.0,0.5,0.25,0.25
DrumSet,"[0.0155611, 0.155435, 0.00807997, 0.0437449, 0.0910215, 0.0977345]",0.0,0.0,0.5,0.17
MilkCarton,"[0.0549271, 0.109022, -0.00692296, 0.280184, -0.0142582, 0.212384]",0.5,0.0,0.5,0.33
Recliner,"[0.0145369, 0.11939, 0.0135426, 0.0757362, 0.140401, 0.0451942]",0.25,0.0,1.0,0.42
Shower,"[0.0149416, 0.224374, -0.0502975, 0.386686, 0.0595446, 0.344879]",0.5,0.0,0.5,0.33
Cassette,"[0.028547, 0.0565639, -0.0542973, -0.110165, 0.0796186, -0.34389]",0.25,0.25,0.5,0.33
MediaPlayer,"[0.0212777, 0.158412, 0.0633019, 0.150475, 0.180945, -0.0237335]",0.25,0.25,1.0,0.5
