Type of Object,Average Grasp,Success 1,Success 2,Success 3,Average
SingleBed,"[0.093204, 0.109241, 0.036179, 0.230504, 0.06553, -0.187779]",1.0,0.0,0.25,0.42
TrashBin,"[0.115647, 0.088354, 0.170648, 0.110974, 0.016095, -0.086961]",1.0,0.5,0.25,0.58
Table,"[0.23702, 0.116458, 0.093042, -0.015081, 0.037355, 0.110138]",0.5,0.5,0.5,0.5
Headphones,"[0.245175, 0.164777, 0.290825, 0.164169, -0.074586, 0.021419]",1.0,0.5,0.5,0.67
Ottoman,"[0.229821, 0.156121, 0.011556, -0.294688, 0.180331, 0.059417]",0.5,0.0,1.0,0.5
Horse,"[-1.006222, 2.854926, 0.088763, -0.09488, -0.02291, -0.261132]",1.0,0.25,1.0,0.75
MousePad,"[0.089298, 0.133476, 0.005776, -0.094435, 0.190181, -0.058588]",0.25,1.0,0.5,0.58
Bench,"[0.127001, 0.076161, 0.060715, -0.042246, 0.023401, -0.086067]",1.0,0.5,1.0,0.83
Book,"[0.117108, 0.101757, 0.064384, 9.2e-05, -0.018984, 0.071408]",1.0,0.5,0.5,0.67
MediaPlayer,"[0.161152, -0.02301, 0.006789, -0.031154, -0.035637, 0.023311]",0.0,0.5,1.0,0.5
Desk,"[0.185409, 0.128575, 0.050208, 0.031406, -0.023755, -0.012361]",0.5,1.0,0.25,0.58
Pan,"[1.828517, 1.509177, 0.050648, 0.038688, 0.04622, -0.097338]",0.5,0.5,1.0,0.67
BeanBag,"[0.080883, -0.073331, 0.082876, -0.263718, -0.039714, 0.090271]",0.25,1.0,0.5,0.58
Bag,"[0.064802, 0.018544, 0.109143, -0.314864, 0.093114, -0.585658]",0.25,0.5,0.5,0.42
CoatRack,"[0.0218, 0.018072, 0.050417, -0.002641, -0.086548, 0.111964]",1.0,0.25,0.5,0.58
DiningTable,"[0.096952, 0.05887, 0.04628, -0.007724, 0.005043, 0.183977]",1.0,0.5,0.5,0.67
DresserWithMirror,"[0.022606, -0.008638, 0.043235, 0.141801, 0.014561, 0.12615]",0.5,0.25,0.25,0.33
Fish,"[0.166962, 0.108225, 0.112844, 0.003838, 0.084022, 0.005023]",0.5,1.0,0.5,0.67
WallClock,"[0.21735, 0.134652, 0.133029, -0.026964, -0.076492, 0.072438]",1.0,0.5,0.25,0.58
Plate,"[0.094246, 0.148926, 0.088108, 0.026439, -0.170452, -0.143367]",0.0,0.5,0.5,0.33
Plant,"[0.046808, 0.026297, 0.094933, 0.099012, 0.002754, -0.286259]",0.5,0.5,0.0,0.33
Sideboard,"[0.135278, 0.065922, 0.071084, 0.119278, -0.098001, 0.057082]",0.0,1.0,0.25,0.42
FloorLamp,"[0.068358, 0.049688, 0.112345, 0.033193, 0.033582, 0.022702]",0.5,0.25,0.5,0.42
Laptop,"[0.096661, 0.54773, 0.093359, -0.105818, 0.01327, 0.102741]",0.25,0.25,1.0,0.5
Shelves,"[0.103388, 0.081712, 0.085174, -0.124694, 0.067325, 0.161461]",0.5,0.5,0.5,0.5
WallLamp,"[0.243677, 0.240062, 0.19678, -0.081854, -0.013251, -0.060326]",0.25,0.0,0.5,0.25
Vase,"[0.246055, 0.091647, 0.185119, 0.020484, 0.024422, -0.079883]",0.5,1.0,0.25,0.58
AccentTable,"[0.191598, 0.177032, 0.10902, 0.068472, 0.037006, 0.118073]",0.5,0.5,0.5,0.5
Cap,"[-0.024202, 0.04301, -0.044911, -0.182136, 0.050852, -0.125386]",0.5,0.5,0.5,0.5
SideChair,"[0.014443, 0.075925, 0.097762, -0.083764, 0.014194, 0.05646]",0.25,0.5,0.5,0.42
LightSwitch,"[1.522068, 1.292355, 0.203393, -0.045561, 0.014888, 0.094332]",0.25,0.25,0.5,0.33
Chaise,"[0.094986, 0.03102, 0.055546, -0.113889, 0.045438, 0.128918]",1.0,1.0,1.0,1.0
Nightstand,"[0.093264, 0.108263, 0.078587, -0.148682, -0.020796, 0.124065]",0.25,0.5,1.0,0.58
Dresser,"[0.085244, 0.073919, 0.056577, -0.001997, -0.113035, 0.021404]",1.0,0.25,0.0,0.42
EndTable,"[0.199378, 0.215162, 0.083455, -0.074734, 0.010343, -0.178116]",1.0,0.5,0.25,0.58
PersonStanding,"[0.032919, -0.059194, 0.15132, -0.026857, 0.001112, -0.017387]",1.0,0.5,0.0,0.5
CoffeeTable,"[0.132574, 0.070204, 0.052995, 0.032209, -0.024158, -0.015334]",0.25,0.5,1.0,0.58
Bottle,"[0.18104, 0.030022, 0.113868, -0.095577, 0.013143, -0.127229]",0.5,0.25,0.5,0.42
Bowl,"[0.26531, 0.092782, 0.101986, 0.083658, 0.124924, -0.109605]",0.25,1.0,0.5,0.58
DeskLamp,"[0.290412, 0.185981, 0.116864, 0.101142, -0.067603, -0.095762]",0.5,0.0,1.0,0.5
AccentChair,"[-0.037042, 0.044039, 0.114309, 0.081142, 0.051837, 0.086096]",1.0,1.0,0.25,0.75
Piano,"[0.103746, 0.090312, 0.057696, 0.070007, -0.161658, -0.03795]",0.25,0.0,0.0,0.08
Cabinet,"[0.08512, 0.096553, 0.069474, 0.100726, -0.019014, -0.032623]",0.5,0.0,0.0,0.17
Cake,"[0.088989, 0.129405, 0.084681, -0.078715, 0.193393, -0.305409]",0.5,0.5,0.5,0.5
Ring,"[0.273632, -2.235164, 0.129962, -0.023287, 0.033864, 0.182133]",1.0,0.0,1.0,0.67
SodaCan,"[0.23159, 0.151353, 0.158117, 0.020118, -0.021297, 0.033029]",0.5,1.0,0.5,0.67
Mug,"[0.044366, 0.026222, 0.084299, -0.035015, 0.003114, -0.025197]",0.5,0.5,1.0,0.67
WallUnit,"[0.214641, 0.336089, 0.047667, 0.136178, -0.135427, 0.033115]",0.5,0.0,0.25,0.25
Bird,"[0.370166, -0.148613, 0.159373, -0.223013, -0.042495, 0.398238]",0.5,0.25,1.0,0.58
ToyFigure,"[0.053522, 0.055729, 0.070444, 0.005178, 0.090545, -0.085012]",1.0,0.25,0.5,0.58
PictureFrame,"[0.621916, 0.394467, 0.070814, -0.151074, 0.007793, -0.163514]",0.25,0.5,0.25,0.33
Pencil,"[0.08429, 0.041447, 0.129025, -0.003344, -0.033544, -0.044554]",0.25,1.0,0.0,0.42
Showerhead,"[0.011245, -0.081701, -0.013029, -0.222083, -0.109757, -0.035701]",0.5,0.25,0.0,0.25
WineGlass,"[0.368218, 0.066649, 0.063661, 0.011055, 0.168293, -0.121039]",1.0,1.0,0.5,0.83
Sectional,"[0.110166, 0.066695, 0.06493, 0.108451, 0.120056, -0.031606]",0.5,0.5,0.5,0.5
OfficeSideChair,"[-0.446754, 0.04803, 0.101481, 0.070297, 0.087995, 0.177936]",0.5,0.5,0.0,0.33
CeilingLamp,"[-0.044591, 0.217546, 0.101263, -0.073624, 0.055067, -0.096379]",0.25,0.0,0.0,0.08
VideoGameController,"[0.089422, 0.045812, 0.101696, -0.232797, 0.07213, 0.210154]",0.5,0.5,1.0,0.67
TableClock,"[0.08476, 0.02334, 0.044292, -0.117024, 0.027962, 0.014359]",0.25,0.5,1.0,0.58
